title,score,comment,quote,year,country,category,link,cover
无人知晓,9.1,205892,我的平常生活就是他人的幸福。,2004,日本,剧情,https://movie.douban.com/subject/1292337/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg
甜蜜蜜,8.8,386549,相逢只要一瞬间，等待却像是一辈子。,1996,中国香港,剧情 爱情,https://movie.douban.com/subject/1305164/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
萤火之森,8.9,372290,触不到的恋人。,2011,日本,剧情 爱情 动画 奇幻,https://movie.douban.com/subject/5989818/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg
超能陆战队,8.7,739827,Balalala~~~,2014,美国,喜剧 动作 科幻 动画 冒险,https://movie.douban.com/subject/11026735/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg
告白,8.7,549182,没有一人完全善，也没有一人完全恶。,2010,日本,剧情 惊悚,https://movie.douban.com/subject/4268598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
大鱼,8.8,434929,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003,美国,剧情 家庭 奇幻 冒险,https://movie.douban.com/subject/1291545/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg
阳光姐妹淘,8.8,470245,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,2011,韩国,剧情 喜剧,https://movie.douban.com/subject/4917726/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg
驯龙高手,8.7,568064,和谐的生活离不开摸头与被摸头。,2010,美国,动画 奇幻 冒险,https://movie.douban.com/subject/2353023/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg
借东西的小人阿莉埃蒂,8.8,403047,曾经的那段美好会沉淀为一辈子的记忆。,2010,日本,动画 奇幻 冒险,https://movie.douban.com/subject/4202302/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg
射雕英雄传之东成西就,8.7,484735,百看不厌。 ,1993,中国香港,喜剧 奇幻 武侠 古装,https://movie.douban.com/subject/1316510/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg
菊次郎的夏天,8.8,385407,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999,日本,剧情 喜剧,https://movie.douban.com/subject/1293359/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p751835224.jpg
幸福终点站,8.8,402945,有时候幸福需要等一等。 ,2004,美国,喜剧 剧情 爱情,https://movie.douban.com/subject/1292274/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg
爱在日落黄昏时,8.8,375077,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004,美国 法国,剧情 爱情,https://movie.douban.com/subject/1291990/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg
恐怖直播,8.8,472157,恐怖分子的“秋菊打官司”。,2013,韩国,剧情 犯罪 悬疑,https://movie.douban.com/subject/21360417/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg
完美的世界,9.1,193256,坏人的好总是比好人的好来得更感人。,1993,美国,剧情 犯罪,https://movie.douban.com/subject/1300992/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg
功夫,8.6,714552,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,https://movie.douban.com/subject/1291543/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
人生果实,9.5,106331,土壤没有落叶不会肥沃，没有了你就不算人生。,2017,日本,纪录片,https://movie.douban.com/subject/26874505/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544912792.jpg
神偷奶爸,8.6,731123,Mr. I Don't Care其实也有Care的时候。,2010,美国 法国,喜剧 动画 冒险,https://movie.douban.com/subject/3287562/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg
怪兽电力公司,8.7,480703,不要给它起名字，起了名字就有感情了。,2001,美国,儿童 喜剧 动画 奇幻 冒险,https://movie.douban.com/subject/1291579/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg
玩具总动员3,8.8,372505,跨度十五年的欢乐与泪水。,2010,美国,喜剧 动画 奇幻 冒险,https://movie.douban.com/subject/1858711/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg
天书奇谭,9.2,158594,传奇的年代，醉人的童话。,1983,中国大陆,动画 奇幻,https://movie.douban.com/subject/1428581/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg
傲慢与偏见,8.6,570575,爱是摈弃傲慢与偏见之后的曙光。,2005,法国 英国 美国,剧情 爱情,https://movie.douban.com/subject/1418200/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg
